Cleanup.ID,Zone,State,Country,Latitude,Longitude,Cleanup.Date,Group.Name,Adults,Children,People,Kilograms,Kilometers,N.bags,Cigarette.Butts,Food.Wrappers.candy.chips.etc.,Take.Out.Away.Containers.Plastic.,Take.Out.Away.Containers.Foam.,Bottle.Caps.Plastic.,Bottle.Caps.Metal.,Lids.Plastic.,Straws.Stirrers,Forks.Knives.Spoons,Beverage.Bottles.Plastic.,Beverage.Bottles.Glass.,Beverage.Cans,Grocery.Bags.Plastic.,Other.Plastic.Bags,Paper.Bags,Cups.Plates.Paper.,Cups.Plates.Plastic.,Cups.Plates.Foam.,Fishing.Buoys.Pots.Traps,Fishing.Net.Pieces,Fishing.Line.1.yard.meter.1.piece.,Rope.1.yard.meter.1.piece.,Fishing.Gear.Clean.Swell.,X6.Pack.Holders,Other.Plastic.Foam.Packaging,Other.Plastic.Bottles.oil.bleach.etc.,Strapping.Bands,Tobacco.Packaging.Wrap,Other.Packaging.Clean.Swell.,Beverages.Sachets,Appliances.refrigerators.washers.etc.,Balloons,Cigar.Tips,Cigarette.Lighters,Construction.Materials,Fireworks,Tires,Toys,Other.Trash.Clean.Swell.,E.cigarettes,Other.tobacco.packaging.lighter.etc.,Condoms,Diapers,Syringes,Tampons.Tampon.Applicators,Personal.Hygiene.Clean.Swell.,Gloves.Masks.PPE.,Foam.Pieces,Glass.Pieces,Plastic.Pieces,Total.Items.Collected,NewPlasticTotal,TotalFishing,totaltakeout,TotalSmoke,PlasticBags,year,month,day,DATE,distanceM,StdEffort,stdzdTotalPlastic,stdzdfish,stdzdtakeout,stdzdsmoke,stdzdbags
1151,"San Diego County, CA, USA","California, USA",United States,32.7611,-117.25191,11/2/15,,1,0,1,9.92,4.22,0,10,46,2,2,9,0,2,4,4,13,2,7,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,5,0,0,0,0,0,15,59,0,0,0,0,0,0,4,0,0,0,32,238,127,5,86,10,4,2015,11,2,2015-11-02,4220,4220,0.03009478673,0.001184834123,0.02037914692,0.002369668246,0.0009478672986
1170,"San Diego County, CA, USA","California, USA",United States,32.76207,-117.25224,11/3/15,,1,0,1,7.53,3.83,0,12,36,5,3,21,0,3,9,4,6,0,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,17,0,0,0,0,0,6,67,0,0,0,0,0,0,9,0,0,0,52,262,137,4,87,12,0,2015,11,3,2015-11-03,3830,3830,0.03577023499,0.001044386423,0.0227154047,0.003133159269,0
1171,"San Diego County, CA, USA","California, USA",United States,32.76207,-117.25224,11/3/15,,1,0,1,7.53,3.83,0,12,36,5,3,21,0,3,9,4,6,0,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,17,0,0,0,0,0,6,67,0,0,0,0,0,0,9,0,0,0,52,262,137,4,87,12,0,2015,11,3,2015-11-03,3830,3830,0.03577023499,0.001044386423,0.0227154047,0.003133159269,0
1175,"San Diego County, CA, USA","California, USA",United States,32.76152,-117.25109,11/6/15,,1,0,1,7.86,6.91,0,37,41,2,1,25,0,6,10,4,2,1,4,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,16,0,0,0,0,0,4,67,0,0,0,0,0,0,1,0,0,0,52,288,161,7,94,37,3,2015,11,6,2015-11-06,6910,6910,0.02329956585,0.001013024602,0.01360347323,0.005354558611,0.0004341534009
1176,"San Diego County, CA, USA","California, USA",United States,32.76152,-117.25109,11/6/15,,1,0,1,7.86,6.91,0,37,41,2,1,25,0,6,10,4,2,1,4,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,16,0,0,0,0,0,4,67,0,0,0,0,0,0,1,0,0,0,52,288,161,7,94,37,3,2015,11,6,2015-11-06,6910,6910,0.02329956585,0.001013024602,0.01360347323,0.005354558611,0.0004341534009
1177,"San Diego County, CA, USA","California, USA",United States,32.76152,-117.25109,11/6/15,,1,0,1,7.86,6.91,0,37,41,2,1,25,0,6,10,4,2,1,4,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,16,0,0,0,0,0,4,67,0,0,0,0,0,0,1,0,0,0,52,288,161,7,94,37,3,2015,11,6,2015-11-06,6910,6910,0.02329956585,0.001013024602,0.01360347323,0.005354558611,0.0004341534009
1180,"San Diego County, CA, USA","California, USA",United States,32.76155,-117.25083,11/8/15,,1,0,1,10.49,4.84,0,19,37,3,4,25,0,3,17,1,10,3,8,8,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,105,0,0,0,0,0,0,5,0,0,0,45,318,152,1,108,19,8,2015,11,8,2015-11-08,4840,4840,0.03140495868,0.0002066115702,0.02231404959,0.003925619835,0.001652892562
1185,"San Diego County, CA, USA","California, USA",United States,32.76155,-117.25083,11/8/15,,1,0,1,10.49,4.84,0,19,37,3,4,25,0,3,17,1,10,3,8,8,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,105,0,0,0,0,0,0,5,0,0,0,45,318,152,1,108,19,8,2015,11,8,2015-11-08,4840,4840,0.03140495868,0.0002066115702,0.02231404959,0.003925619835,0.001652892562
1230,"San Diego County, CA, USA","California, USA",United States,32.76177,-117.25054,11/12/15,,1,0,1,0.53,0.11,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,0,2,2015,11,12,2015-11-12,110,110,0.07272727273,0,0.05454545455,0,0.01818181818
2355,"San Diego County, CA, USA","California, USA",United States,33.21914,-117.37375,5/28/16,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2016,5,28,2016-05-28,0,0,Inf,NA,NA,NA,NA
