Cleanup.ID,Zone,State,Country,Latitude,Longitude,Cleanup.Date,Group.Name,Adults,Children,People,Kilograms,Kilometers,N.bags,Cigarette.Butts,Food.Wrappers.candy.chips.etc.,Take.Out.Away.Containers.Plastic.,Take.Out.Away.Containers.Foam.,Bottle.Caps.Plastic.,Bottle.Caps.Metal.,Lids.Plastic.,Straws.Stirrers,Forks.Knives.Spoons,Beverage.Bottles.Plastic.,Beverage.Bottles.Glass.,Beverage.Cans,Grocery.Bags.Plastic.,Other.Plastic.Bags,Paper.Bags,Cups.Plates.Paper.,Cups.Plates.Plastic.,Cups.Plates.Foam.,Fishing.Buoys.Pots.Traps,Fishing.Net.Pieces,Fishing.Line.1.yard.meter.1.piece.,Rope.1.yard.meter.1.piece.,Fishing.Gear.Clean.Swell.,X6.Pack.Holders,Other.Plastic.Foam.Packaging,Other.Plastic.Bottles.oil.bleach.etc.,Strapping.Bands,Tobacco.Packaging.Wrap,Other.Packaging.Clean.Swell.,Beverages.Sachets,Appliances.refrigerators.washers.etc.,Balloons,Cigar.Tips,Cigarette.Lighters,Construction.Materials,Fireworks,Tires,Toys,Other.Trash.Clean.Swell.,E.cigarettes,Other.tobacco.packaging.lighter.etc.,Condoms,Diapers,Syringes,Tampons.Tampon.Applicators,Personal.Hygiene.Clean.Swell.,Gloves.Masks.PPE.,Foam.Pieces,Glass.Pieces,Plastic.Pieces,Total.Items.Collected,NewPlasticTotal,TotalFishing,totaltakeout,TotalSmoke,PlasticBags,year,month,day,DATE,distanceM,StdEffort,stdzdTotalPlastic,stdzdfish,stdzdtakeout,stdzdsmoke,stdzdbags
49017,"San Diego County, CA, USA","California, USA",United States,32.75015,-117.24683,9/21/18,Self,1,0,1,4.54,0,0,0,4,6,5,0,0,2,4,1,8,7,3,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,56,40,2,35,0,4,2018,9,21,9/21/18,1,1,40,2,35,0,4
152019,"San Diego County, CA, USA","California, USA",United States,32.7019,-117.11754,2/17/18, Big Brother Program ,1,0,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2,17,2/17/18,1,1,0,0,0,0,0
152025,"San Diego County, CA, USA","California, USA",United States,32.70191,-117.1176,2/17/18, Big Brother Program ,1,0,1,4.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2018,2,17,2/17/18,1,1,1,0,1,0,0
152026,"San Diego County, CA, USA","California, USA",United States,32.70194,-117.11758,2/24/18, Big Brother Program ,1,0,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2,24,2/24/18,1,1,0,0,0,0,0
152027,"San Diego County, CA, USA","California, USA",United States,32.70192,-117.11759,3/10/18, Big Brother Program ,1,0,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,3,10,3/10/18,1,1,0,0,0,0,0
152028,"San Diego County, CA, USA","California, USA",United States,32.70192,-117.11759,3/17/18, Big Brother Program ,1,0,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,3,17,3/17/18,1,1,0,0,0,0,0
152029,"San Diego County, CA, USA","California, USA",United States,32.70193,-117.11759,3/24/18, Big Brother Program ,1,0,1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,3,24,3/24/18,1,1,0,0,0,0,0
135554,"San Diego County, CA, USA","California, USA",United States,32.92076111,-117.1497803,9/26/20,,1,0,1,4.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,26,9/26/20,1,1,0,0,0,0,0
50392,"San Diego County, CA, USA","California, USA",,32.76197,-117.25038,9/28/18,Green eco servicesc,1,0,1,4.7,0,0,14,3,3,1,3,0,3,3,3,10,7,13,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,7,116,52,0,33,14,1,2018,9,28,9/28/18,1,1,52,0,33,14,1
78546,"San Diego County, CA, USA","California, USA",United States,32.80426,-117.22139,9/17/19,,1,0,1,5.22,0,0,6,41,13,2,6,0,7,15,10,5,6,6,6,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,6,0,0,0,47,223,139,1,110,6,6,2019,9,17,9/17/19,1,1,139,1,110,6,6
100008,"San Diego County, CA, USA","California, USA",United States,32.76199,-117.2504,11/29/19,Great eco services,1,0,1,5.23,0,0,18,10,3,0,20,0,3,4,2,3,1,1,1,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,11,0,0,2,0,0,0,0,0,3,10,0,0,0,0,0,0,2,0,0,0,95,201,94,10,48,18,1,2019,11,29,11/29/19,1,1,94,10,48,18,1
50558,"San Diego County, CA, USA","California, USA",,32.76193,-117.25033,9/29/18,Green eco servicesc,1,0,1,5.5,0,0,6,10,4,2,3,0,8,8,2,15,7,7,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,20,138,85,0,65,6,3,2018,9,29,9/29/18,1,1,85,0,65,6,3
