ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",94722,19922,"Census Tract 152, San Diego County, CA","14000US06073015200"
2015,"2015",0,"Total",48272,6316,"Census Tract 153.01, San Diego County, CA","14000US06073015301"
2015,"2015",0,"Total",81324,15498,"Census Tract 153.02, San Diego County, CA","14000US06073015302"
2015,"2015",0,"Total",105804,24213,"Census Tract 154.03, San Diego County, CA","14000US06073015403"
2015,"2015",0,"Total",50123,9417,"Census Tract 154.04, San Diego County, CA","14000US06073015404"
2015,"2015",0,"Total",95253,10456,"Census Tract 154.05, San Diego County, CA","14000US06073015405"
2015,"2015",0,"Total",96786,19485,"Census Tract 154.06, San Diego County, CA","14000US06073015406"
2015,"2015",0,"Total",67857,10222,"Census Tract 155.01, San Diego County, CA","14000US06073015501"
2015,"2015",0,"Total",85114,10333,"Census Tract 155.02, San Diego County, CA","14000US06073015502"
2015,"2015",0,"Total",41927,8842,"Census Tract 156.01, San Diego County, CA","14000US06073015601"
2015,"2015",0,"Total",122891,11000,"Census Tract 156.02, San Diego County, CA","14000US06073015602"
2015,"2015",0,"Total",31839,3296,"Census Tract 157.01, San Diego County, CA","14000US06073015701"
2015,"2015",0,"Total",22837,2645,"Census Tract 157.03, San Diego County, CA","14000US06073015703"
2015,"2015",0,"Total",40577,10400,"Census Tract 157.04, San Diego County, CA","14000US06073015704"
2015,"2015",0,"Total",27803,7337,"Census Tract 158.01, San Diego County, CA","14000US06073015801"
2015,"2015",0,"Total",31250,1635,"Census Tract 158.02, San Diego County, CA","14000US06073015802"
2015,"2015",0,"Total",34119,5163,"Census Tract 159.01, San Diego County, CA","14000US06073015901"
2015,"2015",0,"Total",37740,3467,"Census Tract 159.02, San Diego County, CA","14000US06073015902"
2015,"2015",0,"Total",66711,14777.000000000002,"Census Tract 160, San Diego County, CA","14000US06073016000"
2015,"2015",0,"Total",71019,19416,"Census Tract 161, San Diego County, CA","14000US06073016100"
2015,"2015",0,"Total",95096,18542,"Census Tract 162.01, San Diego County, CA","14000US06073016201"
2015,"2015",0,"Total",37923,6283,"Census Tract 162.02, San Diego County, CA","14000US06073016202"
2015,"2015",0,"Total",37821,6512,"Census Tract 163.01, San Diego County, CA","14000US06073016301"
2015,"2015",0,"Total",39273,8351,"Census Tract 163.02, San Diego County, CA","14000US06073016302"
