Latitude,Longitude,year,T.Plastic,T.Takeout,T.Smoke,T.Fishing,T.bags,T.Dist.M,T.Adults,T.People,T.Kg,N.cleanupAttempts,T.StdEffort,stdzdTotalPlastic,stdzdtakeout,stdzdsmoke,stdzdBags,stdzdFish
32.5868,-117.1319,2019,7,6,0,0,0,1,7,7,0.13,1,14,0.5,0.4285714286,0,0,0
32.5869,-117.1329,2019,0,0,0,0,0,161,5315,5315,47702.5,1,861030,0,0,0,0,0
32.5869,-117.0917,2016,179,84,80,2,15,2511,2,2,41.28,1,5024,0.03562898089,0.01671974522,0.01592356688,0.00298566879,0.000398089172
32.5871,-117.0925,2018,51,27,14,0,5,31,1,1,1.4,1,32,1.59375,0.84375,0.4375,0.15625,0
32.5873,-117.1079,2019,102,54,46,0,4,2411,1,1,4.44,1,2412,0.04228855721,0.0223880597,0.01907131012,0.001658374793,0
32.5875,-117.075,2018,5,4,1,0,1,351,1,1,0.26,1,352,0.01420454545,0.01136363636,0.002840909091,0.002840909091,0
32.5876,-117.1311,2017,1440,768,538,17,68,6441,129,129,90.72,1,831018,0.001732814452,0.0009241677076,0.0006473987326,8.18E-05,2.05E-05
32.5876,-117.1186,2020,425,271,135,0,40,2141,4,4,8.16,1,8568,0.0496031746,0.03162931839,0.01575630252,0.00466853408,0
32.5876,-117.1084,2019,178,78,97,0,4,11301,5,5,13.2,1,56510,0.003149884976,0.001380286675,0.001716510352,7.08E-05,0
32.5876,-117.1059,2019,75,24,42,0,1,5061,2,2,3.21,1,10124,0.007408139075,0.002370604504,0.004148557882,9.88E-05,0
32.5881,-117.1067,2019,86,59,20,0,9,891,3,3,3.88,1,2676,0.03213751868,0.02204783259,0.007473841555,0.0033632287,0
32.5894,-117.111,2017,1158,795,337,4,78,801,20,27,48.99,1,21654,0.05347741757,0.03671377113,0.01556294449,0.003602105846,0.0001847233767
32.591,-117.0383,2018,9,0,9,0,0,1,1,1,0.02,1,2,4.5,0,4.5,0,0
32.5916,-117.045,2020,210,105,100,0,5,711,2,2,20.41,1,1424,0.1474719101,0.07373595506,0.0702247191,0.003511235955,0
32.5956,-117.1328,2020,34,20,1,4,0,971,1,1,3.81,1,972,0.03497942387,0.02057613169,0.001028806584,0,0.004115226337
32.6053,-117.0856,2020,1057,682,363,0,10,8051,7,7,36.74,1,56364,0.01875310482,0.01209992194,0.00644028103,0.0001774182102,0
32.6055,-117.0372,2020,539,326,177,0,39,3381,1,4,13.11,1,13528,0.039843288,0.02409816677,0.01308397398,0.002882909521,0
32.6084,-116.995,2020,301,250,46,0,20,1611,3,6,24.95,1,9672,0.03112076096,0.02584780811,0.004755996691,0.002067824648,0
32.6106,-116.9326,2020,146,126,15,0,0,3221,2,2,6.8,1,6444,0.02265673495,0.01955307263,0.002327746741,0,0
32.6115,-116.9973,2020,61,36,25,0,0,4831,2,3,15.88,1,14496,0.004208057395,0.002483443709,0.001724613687,0,0
32.6178,-116.9334,2018,163,46,99,18,5,11061,13,13,8,1,143806,0.001133471482,0.0003198753877,0.0006884274648,3.48E-05,0.00012516863
32.6184,-116.9538,2020,165,139,14,0,15,4831,1,3,1.36,1,14496,0.01138245033,0.009588852097,0.0009657836645,0.001034768212,0
32.6194,-116.9986,2020,117,49,61,0,2,3221,1,2,1.02,1,6444,0.01815642458,0.007603972688,0.009466170081,0.0003103662322,0
32.62,-117.0331,2020,300,200,100,0,0,1771,3,4,20.41,1,7088,0.04232505643,0.02821670429,0.01410835214,0,0
32.6213,-117.0954,2019,198,104,40,0,1,1,2,2,11.34,1,4,49.5,26,10,0.25,0
32.6214,-117.0956,2019,141,10,126,4,0,6011,2,2,2.15,1,12024,0.01172654691,0.0008316699933,0.01047904192,0,0.0003326679973
32.6216,-117.0909,2018,52,26,25,0,2,11,1,1,1.81,1,12,4.333333333,2.166666667,2.083333333,0.1666666667,0
32.6219,-117.0941,2018,17,0,17,0,0,31,8,8,0.05,1,256,0.06640625,0,0.06640625,0,0
32.622,-117.0937,2020,33,17,15,0,3,3221,8,12,0.45,1,38664,0.0008535071384,0.0004396854956,0.0003879577902,7.76E-05,0
32.622,-116.9995,2020,60,35,19,0,4,11,8,8,1.29,1,96,0.625,0.3645833333,0.1979166667,0.04166666667,0
32.6228,-117.1377,2016,1,0,1,0,0,177031,2367,2367,53320.69,1,419034744,2.39E-09,0,2.39E-09,0,0
32.6229,-117.0875,2016,114,86,26,0,0,1,1,1,2.02,1,2,57,43,13,0,0
32.623,-117.0939,2016,91,64,7,2,6,831,2,2,31.75,1,1664,0.0546875,0.03846153846,0.004206730769,0.003605769231,0.001201923077
32.6239,-117.0867,2017,5,5,0,0,1,51,1,1,0.08,1,52,0.09615384615,0.09615384615,0,0.01923076923,0
32.6256,-116.9891,2018,1,0,1,0,0,21,1,1,0,1,22,0.04545454545,0,0.04545454545,0,0
32.6256,-116.989,2018,168,74,65,23,2,71,1,1,9.3,1,72,2.333333333,1.027777778,0.9027777778,0.02777777778,0.3194444444
32.6273,-117.0939,2016,168,117,21,0,14,3731,1,1,5.13,1,3732,0.04501607717,0.03135048232,0.005627009646,0.003751339764,0
32.6275,-117.107,2020,208,119,81,0,39,1611,2,3,2.36,1,4836,0.04301075269,0.02460711332,0.01674937965,0.008064516129,0
32.6277,-117.107,2020,267,148,105,0,7,3221,1,1,10.89,1,3222,0.08286778399,0.04593420236,0.03258845438,0.002172563625,0
32.6285,-117.0642,2017,40,11,20,0,2,1,1,1,0.46,1,2,20,5.5,10,1,0
32.6286,-117.0639,2017,24,19,5,0,0,31,1,1,0.29,1,32,0.75,0.59375,0.15625,0,0
32.6288,-117.1388,2019,41,16,8,0,0,991,1,1,11.77,1,992,0.04133064516,0.01612903226,0.008064516129,0,0
32.6288,-117.1045,2020,190,125,60,1,0,3221,2,2,2.27,1,6444,0.02948479205,0.01939788951,0.009310986965,0,0.0001551831161
32.6288,-117.0647,2017,4,1,0,0,0,11,1,1,0.53,1,12,0.3333333333,0.08333333333,0,0,0
32.6292,-117.067,2017,26,7,15,0,1,41,1,1,0.29,1,42,0.619047619,0.1666666667,0.3571428571,0.02380952381,0
32.6294,-117.067,2017,25,20,5,0,3,31,1,1,0.81,1,32,0.78125,0.625,0.15625,0.09375,0
32.63,-117.1392,2018,3304,2906,354,4,37,4831,50,93,37.65,1,449376,0.007352417575,0.006466744998,0.0007877590258,8.23E-05,8.90E-06
32.6302,-117.1406,2019,29,17,4,3,0,1161,1,1,3.77,1,1162,0.02495697074,0.01462994836,0.003442340792,0,0.002581755594
32.6307,-117.1404,2020,27,15,2,0,1,1,2,2,0.64,1,4,6.75,3.75,0.5,0.25,0
32.6315,-117.0627,2017,24,14,0,0,3,461,1,1,1.34,1,462,0.05194805195,0.0303030303,0,0.006493506494,0
32.6323,-116.9416,2020,54,45,2,0,5,3221,2,2,0.91,1,6444,0.008379888268,0.006983240223,0.0003103662322,0.0007759155804,0
32.633,-116.9914,2020,0,0,0,0,0,1961,2,2,5.44,1,3924,0,0,0,0,0
32.634,-117.0593,2020,148,92,51,0,3,1611,1,1,0.68,1,1612,0.09181141439,0.0570719603,0.03163771712,0.001861042184,0
32.6342,-116.9181,2020,123,88,30,0,10,1611,1,3,2.72,1,4836,0.02543424318,0.01819685691,0.006203473945,0.002067824648,0
32.6344,-117.0504,2020,99,70,18,1,10,1211,2,4,3.18,1,4848,0.02042079208,0.01443894389,0.003712871287,0.002062706271,0.0002062706271
32.6345,-117.0461,2020,69,37,30,0,6,5651,2,2,7.2,1,11304,0.00610403397,0.003273177636,0.002653927813,0.0005307855626,0
32.635,-117.046,2020,144,45,95,0,0,5391,2,2,6.22,1,10784,0.01335311573,0.004172848665,0.008809347181,0,0
32.6353,-117.1434,2020,50,26,17,0,1,401,1,3,1.73,1,1206,0.04145936982,0.02155887231,0.01409618574,0.0008291873964,0
32.6355,-117.1407,2018,241,78,145,0,8,2391,2,2,4.07,1,4784,0.05037625418,0.01630434783,0.03030936455,0.001672240803,0
32.6362,-117.1415,2019,0,0,0,0,0,2601,15,15,0,1,39030,0,0,0,0,0
32.6362,-117.1414,2019,180,110,50,1,0,2211,4,4,7.87,1,8848,0.02034358047,0.01243218807,0.005650994575,0,0.0001130198915
32.6401,-117.1107,2016,364,227,65,4,9,1071,3,3,13.34,1,3216,0.1131840796,0.07058457711,0.02021144279,0.002798507463,0.001243781095
32.6401,-117.0494,2019,62,56,2,0,2,10161,20,20,1.74,1,203240,0.0003050580594,0.0002755363117,9.84E-06,9.84E-06,0
32.6405,-117.1398,2020,54,48,3,0,10,6441,2,4,3.22,1,25768,0.002095622477,0.001862775536,0.000116423471,0.0003880782366,0
32.6411,-116.9653,2020,0,0,0,0,0,1,6,6,0.91,1,12,0,0,0,0,0
32.6412,-116.9654,2020,0,0,0,0,0,1,6,6,1.81,1,12,0,0,0,0,0
32.6428,-116.9669,2020,93,73,15,0,4,2411,2,2,6.35,1,4824,0.01927860697,0.01513266998,0.003109452736,0.0008291873964,0
32.6433,-117.1429,2018,107,76,0,0,2,401,1,1,4.97,1,402,0.2661691542,0.1890547264,0,0.004975124378,0
32.6434,-117.1424,2018,92,83,0,0,0,491,1,1,4.13,1,492,0.1869918699,0.168699187,0,0,0
32.6457,-117.1473,2020,155,118,32,0,20,1611,3,4,1.59,1,6448,0.02403846154,0.01830024814,0.004962779156,0.003101736973,0
32.6459,-117.1426,2016,290,181,82,6,8,921,21,21,22.68,1,19362,0.01497779155,0.00934820783,0.00423509968,0.0004131804566,0.0003098853424
32.6466,-117.0866,2020,1503,432,1043,0,30,1271,1,5,3.63,1,6360,0.2363207547,0.0679245283,0.1639937107,0.004716981132,0
32.6469,-117.144,2017,122,91,14,8,7,241,21,21,15.42,1,5082,0.02400629673,0.01790633609,0.002754820937,0.001377410468,0.001574183392
32.6471,-116.9604,2020,87,64,15,0,11,4351,2,3,3.63,1,13056,0.006663602941,0.004901960784,0.001148897059,0.0008425245098,0
32.65,-117.111,2016,1150,655,395,7,118,4831,21,28,49.9,1,135296,0.008499881741,0.004841236991,0.002919524598,0.0008721617786,5.17E-05
32.6501,-117.1115,2017,2450,1347,897,20,180,1611,28,51,45.36,1,82212,0.02980100229,0.01638446942,0.01091081594,0.002189461392,0.0002432734881
32.6508,-117.1096,2019,5,5,0,0,0,311,1,1,0.59,1,312,0.01602564103,0.01602564103,0,0,0
32.6509,-117.1117,2016,1170,675,395,7,118,4831,32,32,49.9,1,154624,0.00756674255,0.004365428394,0.002554584023,0.0007631415563,4.53E-05
32.6523,-117.1103,2019,113,109,3,1,15,11,1,1,5.44,1,12,9.416666667,9.083333333,0.25,1.25,0.08333333333
32.6525,-117.1096,2017,1,1,0,0,0,1611,20,20,249.48,1,32240,3.10E-05,3.10E-05,0,0,0
32.6527,-117.109,2018,348,311,7,0,30,1611,9,9,226.8,1,14508,0.02398676592,0.02143644886,0.000482492418,0.002067824648,0
32.653,-117.1512,2020,26,23,3,0,0,3221,1,2,1.81,1,6444,0.004034761018,0.00356921167,0.0004655493482,0,0
32.6534,-117.1512,2020,25,22,3,0,5,3221,1,2,10,1,6444,0.003879577902,0.003414028554,0.0004655493482,0.0007759155804,0
32.654,-117.1125,2019,25,22,2,0,0,1501,6,6,0.14,1,9012,0.002774079006,0.002441189525,0.0002219263205,0,0
32.6572,-117.0697,2019,323,222,71,0,16,1,2,2,7.41,1,4,80.75,55.5,17.75,4,0
32.6574,-117.0716,2019,32,21,11,0,7,641,2,2,1.51,1,1284,0.02492211838,0.01635514019,0.008566978193,0.005451713396,0
32.6575,-117.082,2018,118,2,0,0,1,1611,6,15,436.36,1,24180,0.00488006617,8.27E-05,0,4.14E-05,0
