latitude,longitude,year,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout,total_smoke
32.7463,-117.2354,2020,1,1,0,0,1,0
32.7463,-117.2353,2020,2,2,0,0,2,0
32.7463,-117.2352,2020,1,3,0,0,2,1
32.7464,-117.2354,2020,1,1,0,0,0,1
32.7465,-117.2356,2020,1,1,0,0,0,1
32.7467,-117.2376,2020,1,5,3,0,2,0
32.7468,-117.2534,2020,1,4,0,0,2,2
32.7468,-117.2509,2020,1,20,0,0,17,0
32.7468,-117.2508,2020,1,37,0,0,12,25
32.7468,-117.2376,2020,1,43,0,0,23,20
32.7468,-117.2374,2020,1,3,0,0,2,0
32.7469,-117.2358,2020,1,1,0,0,1,0
32.7469,-117.2357,2020,1,6,0,0,1,5
32.747,-117.2526,2020,1,2,0,0,1,1
32.747,-117.2502,2020,1,132,0,0,104,28
32.747,-117.2357,2020,1,1,0,0,1,0
32.7471,-117.236,2020,1,1,0,0,0,1
32.7471,-117.2359,2020,1,1,0,0,1,0
32.7472,-117.2361,2020,1,1,0,0,1,0
32.7473,-117.2344,2020,1,1,0,0,0,1
32.7474,-117.2344,2020,1,3,0,0,0,3
32.7475,-117.2363,2020,1,3,0,0,2,1
32.7476,-117.2363,2020,1,2,0,0,2,0
32.7476,-117.2362,2020,1,1,0,0,1,0
32.7476,-117.2342,2020,1,1,0,0,1,0
32.7477,-117.2362,2020,1,1,0,0,1,0
32.7478,-117.2532,2019,1,1,0,0,0,1
32.7478,-117.2531,2020,5,5,0,0,3,2
32.7479,-117.2532,2016,1,2,0,0,0,0
32.7479,-117.2532,2019,1,1,0,0,1,0
32.7479,-117.2531,2018,1,1,0,0,0,1
32.7479,-117.2531,2020,2,2,0,0,1,1
32.7479,-117.253,2020,3,3,0,0,3,0
32.7479,-117.2529,2020,3,3,0,0,1,2
32.7479,-117.2377,2020,1,1,0,0,1,0
32.748,-117.2532,2019,1,1,0,0,1,0
32.748,-117.2531,2018,1,1,0,0,0,1
32.748,-117.2531,2019,2,2,0,0,0,1
32.748,-117.2531,2020,4,4,0,0,3,1
32.748,-117.253,2019,1,1,0,0,1,0
32.748,-117.253,2020,4,4,0,0,4,0
32.748,-117.2524,2020,1,3,0,0,3,0
32.748,-117.2402,2020,1,4,0,0,3,1
32.748,-117.2376,2020,1,2,0,0,2,0
32.7481,-117.2533,2020,1,9,0,0,9,0
32.7481,-117.2532,2018,2,4,0,0,4,0
32.7481,-117.2531,2019,2,2,0,0,1,1
32.7481,-117.253,2020,6,6,0,0,6,0
32.7481,-117.2404,2020,1,1,0,0,1,0
32.7481,-117.2361,2020,1,2,0,0,2,0
32.7482,-117.2532,2019,1,1,0,0,1,0
32.7482,-117.253,2020,11,11,0,0,9,1
32.7482,-117.2529,2020,2,2,0,0,2,0
32.7482,-117.2406,2020,2,41,0,0,20,21
32.7482,-117.2405,2020,1,13,0,0,13,0
32.7482,-117.2362,2020,1,1,1,0,0,0
32.7482,-117.2361,2020,1,6,0,0,5,0
32.7482,-117.2359,2020,1,1,0,0,0,0
32.7482,-117.1682,2018,4,4,0,0,4,0
32.7482,-117.1682,2019,2,3,0,0,0,3
32.7482,-117.1681,2018,4,6,0,0,6,0
32.7482,-117.1681,2019,3,3,0,0,0,3
32.7482,-117.168,2019,1,1,0,0,0,0
32.7482,-117.1678,2019,2,2,0,0,0,2
32.7482,-117.1677,2019,4,6,0,0,0,6
32.7482,-117.1676,2019,3,3,0,0,1,2
32.7482,-117.1675,2018,1,1,0,0,0,0
32.7482,-117.1675,2019,10,11,0,0,2,9
32.7482,-117.1674,2019,5,5,0,0,0,5
32.7483,-117.2532,2019,1,1,1,0,0,0
32.7483,-117.2531,2019,1,1,0,0,0,1
32.7483,-117.253,2020,4,4,0,0,3,1
32.7483,-117.2529,2020,9,10,0,0,9,1
32.7483,-117.2406,2020,1,9,0,0,9,0
32.7483,-117.2374,2020,1,1,0,0,1,0
32.7483,-117.2068,2018,1,1,0,0,1,0
32.7483,-117.1682,2018,4,7,0,0,5,2
32.7483,-117.1682,2019,1,1,0,0,0,1
32.7483,-117.1681,2018,7,15,0,0,12,3
32.7483,-117.1681,2019,5,6,0,0,5,1
32.7483,-117.168,2018,3,3,0,0,1,2
